"","kingdom","family","quality_grade","n"
"211","Plantae","Burmanniaceae","research",699
"212","Plantae","Burseraceae","needs_id",6257
"213","Plantae","Burseraceae","research",7899
"214","Plantae","Butomaceae","needs_id",70
"215","Plantae","Butomaceae","research",4961
"216","Plantae","Buxaceae","needs_id",6439
"217","Plantae","Buxaceae","research",5327
"218","Plantae","Buxbaumiaceae","needs_id",83
"219","Plantae","Buxbaumiaceae","research",454
"220","Plantae","Byblidaceae","needs_id",6
"221","Plantae","Byblidaceae","research",28
"222","Plantae","Cabombaceae","needs_id",261
"223","Plantae","Cabombaceae","research",3314
"224","Plantae","Cactaceae","needs_id",119190
"225","Plantae","Cactaceae","research",327573
"226","Plantae","Calamitaceae","needs_id",1
"227","Plantae","Calceolariaceae","needs_id",2991
"228","Plantae","Calceolariaceae","research",1734
"229","Plantae","Callicostaceae","needs_id",2
"230","Plantae","Callicostaceae","research",2
"231","Plantae","Calliergonaceae","needs_id",252
"232","Plantae","Calliergonaceae","research",96
"233","Plantae","Callithamniaceae","needs_id",20
"234","Plantae","Callithamniaceae","research",24
"235","Plantae","Calomniaceae","needs_id",5
"236","Plantae","Calomniaceae","research",4
"237","Plantae","Calophyllaceae","needs_id",879
"238","Plantae","Calophyllaceae","research",939
"239","Plantae","Calosiphoniaceae","needs_id",1
"240","Plantae","Calosiphoniaceae","research",1
"241","Plantae","Calycanthaceae","needs_id",1525
"242","Plantae","Calycanthaceae","research",4315
"243","Plantae","Calyceraceae","needs_id",143
"244","Plantae","Calyceraceae","research",210
"245","Plantae","Calymperaceae","needs_id",106
"246","Plantae","Calymperaceae","research",10
"247","Plantae","Calypogeiaceae","needs_id",408
"248","Plantae","Calypogeiaceae","research",106
"249","Plantae","Campanulaceae","needs_id",78531
"250","Plantae","Campanulaceae","research",152634
"251","Plantae","Campynemataceae","needs_id",1
"252","Plantae","Campynemataceae","research",16
"253","Plantae","Canellaceae","needs_id",81
"254","Plantae","Canellaceae","research",103
"255","Plantae","Cannabaceae","needs_id",26876
"256","Plantae","Cannabaceae","research",40745
"257","Plantae","Cannaceae","needs_id",4129
"258","Plantae","Cannaceae","research",3921
"259","Plantae","Capparaceae","needs_id",4525
"260","Plantae","Capparaceae","research",6768
"261","Plantae","Caprifoliaceae","needs_id",151228
"262","Plantae","Caprifoliaceae","research",228160
"263","Plantae","Cardiopteridaceae","needs_id",81
"264","Plantae","Cardiopteridaceae","research",209
"265","Plantae","Caricaceae","needs_id",1325
"266","Plantae","Caricaceae","research",7157
"267","Plantae","Carlemanniaceae","needs_id",4
"268","Plantae","Carlemanniaceae","research",2
"269","Plantae","Caryocaraceae","needs_id",160
"270","Plantae","Caryocaraceae","research",241
"271","Plantae","Caryophyllaceae","needs_id",146601
"272","Plantae","Caryophyllaceae","research",281578
"273","Plantae","Casuarinaceae","needs_id",6871
"274","Plantae","Casuarinaceae","research",5107
"275","Plantae","Catagoniaceae","needs_id",13
"276","Plantae","Catagoniaceae","research",18
"277","Plantae","Catoscopiaceae","needs_id",5
"278","Plantae","Catoscopiaceae","research",4
"279","Plantae","Caulacanthaceae","needs_id",60
"280","Plantae","Caulacanthaceae","research",38
"281","Plantae","Caulerpaceae","needs_id",1460
"282","Plantae","Caulerpaceae","research",1150
"283","Plantae","Celastraceae","needs_id",31957
"284","Plantae","Celastraceae","research",91402
"285","Plantae","Centroplacaceae","needs_id",5
"286","Plantae","Centroplacaceae","research",2
"287","Plantae","Cephalotaceae","research",59
"288","Plantae","Cephaloziaceae","needs_id",396
"289","Plantae","Cephaloziaceae","research",324
"290","Plantae","Cephaloziellaceae","needs_id",145
"291","Plantae","Cephaloziellaceae","research",19
"292","Plantae","Ceramiaceae","needs_id",827
"293","Plantae","Ceramiaceae","research",827
"294","Plantae","Ceratophyllaceae","needs_id",557
"295","Plantae","Ceratophyllaceae","research",3082
"296","Plantae","Cercidiphyllaceae","needs_id",1226
"297","Plantae","Cercidiphyllaceae","research",413
"298","Plantae","Chaetophoraceae","needs_id",138
"299","Plantae","Chaetophoraceae","research",28
"300","Plantae","Chaetophyllopsidaceae","needs_id",10
"301","Plantae","Chaetophyllopsidaceae","research",2
"302","Plantae","Chaetosphaeridiaceae","needs_id",4
"303","Plantae","Chaetosphaeridiaceae","research",1
"304","Plantae","Champiaceae","needs_id",228
"305","Plantae","Champiaceae","research",497
"306","Plantae","Characeae","needs_id",2141
"307","Plantae","Characeae","research",714
"308","Plantae","Characiaceae","needs_id",10
"309","Plantae","Characiaceae","research",3
"310","Plantae","Chlamydomonadaceae","needs_id",215
"311","Plantae","Chlamydomonadaceae","research",168
"312","Plantae","Chlorangiellaceae","needs_id",5
"313","Plantae","Chloranthaceae","needs_id",591
"314","Plantae","Chloranthaceae","research",1469
"315","Plantae","Chlorellaceae","needs_id",65
"316","Plantae","Chlorellaceae","research",14
"317","Plantae","Chlorococcaceae","needs_id",46
"318","Plantae","Chlorococcaceae","research",60
"319","Plantae","Chlorodendraceae","needs_id",8
"320","Plantae","Choreocolacaceae","research",1
"321","Plantae","Chrysobalanaceae","needs_id",1211
"322","Plantae","Chrysobalanaceae","research",3147
"323","Plantae","Cibotiaceae","needs_id",631
"324","Plantae","Cibotiaceae","research",466
"325","Plantae","Cinclidotaceae","needs_id",17
"326","Plantae","Cinclidotaceae","research",14
"327","Plantae","Cistaceae","needs_id",15820
"328","Plantae","Cistaceae","research",26053
"329","Plantae","Cladophoraceae","needs_id",1980
"330","Plantae","Cladophoraceae","research",932
"331","Plantae","Cleomaceae","needs_id",5607
"332","Plantae","Cleomaceae","research",17866
"333","Plantae","Clethraceae","needs_id",3464
"334","Plantae","Clethraceae","research",5883
"335","Plantae","Cleveaceae","needs_id",15
"336","Plantae","Cleveaceae","research",47
"337","Plantae","Climaciaceae","needs_id",3524
"338","Plantae","Climaciaceae","research",1713
"339","Plantae","Closteriaceae","needs_id",1494
"340","Plantae","Closteriaceae","research",152
"341","Plantae","Clusiaceae","needs_id",3764
"342","Plantae","Clusiaceae","research",1735
"343","Plantae","Coccomyxaceae","needs_id",2
"344","Plantae","Codiaceae","needs_id",1793
"345","Plantae","Codiaceae","research",3633
"346","Plantae","Colaconemataceae","needs_id",3
"347","Plantae","Colaconemataceae","research",1
"348","Plantae","Colchicaceae","needs_id",8015
"349","Plantae","Colchicaceae","research",26797
"350","Plantae","Coleochaetaceae","needs_id",12
"351","Plantae","Coleochaetaceae","research",1
"352","Plantae","Columelliaceae","needs_id",71
"353","Plantae","Columelliaceae","research",138
"354","Plantae","Combretaceae","needs_id",6033
"355","Plantae","Combretaceae","research",13429
"356","Plantae","Commelinaceae","needs_id",58501
"357","Plantae","Commelinaceae","research",55776
"358","Plantae","Compsopogonaceae","needs_id",8
"359","Plantae","Compsopogonaceae","research",3
"360","Plantae","Connaraceae","needs_id",254
"361","Plantae","Connaraceae","research",207
"362","Plantae","Conocephalaceae","needs_id",2960
"363","Plantae","Conocephalaceae","research",4164
"364","Plantae","Convolvulaceae","needs_id",101893
"365","Plantae","Convolvulaceae","research",157799
"366","Plantae","Corallinaceae","needs_id",8381
"367","Plantae","Corallinaceae","research",1995
"368","Plantae","Coriariaceae","needs_id",641
"369","Plantae","Coriariaceae","research",2088
"370","Plantae","Cornaceae","needs_id",67807
"371","Plantae","Cornaceae","research",80654
"372","Plantae","Corsiaceae","needs_id",1
"373","Plantae","Corsiaceae","research",66
"374","Plantae","Corsiniaceae","needs_id",4
"375","Plantae","Corsiniaceae","research",15
"376","Plantae","Corynocarpaceae","needs_id",201
"377","Plantae","Corynocarpaceae","research",1752
"378","Plantae","Costaceae","needs_id",4266
"379","Plantae","Costaceae","research",3513
"380","Plantae","Crassulaceae","needs_id",75122
"381","Plantae","Crassulaceae","research",125589
"382","Plantae","Crossosomataceae","needs_id",111
"383","Plantae","Crossosomataceae","research",471
"384","Plantae","Cryphaeaceae","needs_id",85
"385","Plantae","Cryphaeaceae","research",225
"386","Plantae","Crypteroniaceae","needs_id",2
"387","Plantae","Cucurbitaceae","needs_id",36890
"388","Plantae","Cucurbitaceae","research",60028
"389","Plantae","Culcitaceae","needs_id",2
"390","Plantae","Culcitaceae","research",21
"391","Plantae","Cunoniaceae","needs_id",1206
"392","Plantae","Cunoniaceae","research",5005
"393","Plantae","Cupressaceae","needs_id",114748
"394","Plantae","Cupressaceae","research",127336
"395","Plantae","Curtisiaceae","needs_id",24
"396","Plantae","Curtisiaceae","research",373
"397","Plantae","Cyanidiaceae","needs_id",5
"398","Plantae","Cyatheaceae","needs_id",5231
"399","Plantae","Cyatheaceae","research",8969
"400","Plantae","Cycadaceae","needs_id",715
"401","Plantae","Cycadaceae","research",515
"402","Plantae","Cyclanthaceae","needs_id",1158
"403","Plantae","Cyclanthaceae","research",516
"404","Plantae","Cylindrocapsaceae","needs_id",5
"405","Plantae","Cymodoceaceae","needs_id",419
"406","Plantae","Cymodoceaceae","research",516
"407","Plantae","Cynomoriaceae","needs_id",4
"408","Plantae","Cynomoriaceae","research",195
"409","Plantae","Cyperaceae","needs_id",233378
"410","Plantae","Cyperaceae","research",160151
"411","Plantae","Cyrillaceae","needs_id",278
"412","Plantae","Cyrillaceae","research",1929
"413","Plantae","Cyrtopodaceae","needs_id",16
"414","Plantae","Cyrtopodaceae","research",13
"415","Plantae","Cystocloniaceae","needs_id",53
"416","Plantae","Cystocloniaceae","research",19
"417","Plantae","Cystopteridaceae","needs_id",8875
"418","Plantae","Cystopteridaceae","research",11281
"419","Plantae","Cytinaceae","needs_id",190
"420","Plantae","Cytinaceae","research",809
"421","Plantae","Daltoniaceae","needs_id",31
"422","Plantae","Daltoniaceae","research",27
"423","Plantae","Daphniphyllaceae","needs_id",261
"424","Plantae","Daphniphyllaceae","research",432
"425","Plantae","Dasyaceae","needs_id",81
"426","Plantae","Dasyaceae","research",50
"427","Plantae","Dasycladaceae","needs_id",323
"428","Plantae","Dasycladaceae","research",255
"429","Plantae","Dasypogonaceae","needs_id",130
"430","Plantae","Dasypogonaceae","research",332
"431","Plantae","Datiscaceae","needs_id",18
"432","Plantae","Datiscaceae","research",646
"433","Plantae","Davalliaceae","needs_id",783
"434","Plantae","Davalliaceae","research",1081
"435","Plantae","Degeneriaceae","needs_id",1
"436","Plantae","Delesseriaceae","needs_id",1025
"437","Plantae","Delesseriaceae","research",671
"438","Plantae","Dendrocerotaceae","needs_id",24
"439","Plantae","Dendrocerotaceae","research",20
"440","Plantae","Dennstaedtiaceae","needs_id",14483
"441","Plantae","Dennstaedtiaceae","research",56076
"442","Plantae","Derbesiaceae","needs_id",18
"443","Plantae","Derbesiaceae","research",32
"444","Plantae","Desmidiaceae","needs_id",4052
"445","Plantae","Desmidiaceae","research",919
"446","Plantae","Desmophlebiaceae","research",1
"447","Plantae","Diapensiaceae","needs_id",593
"448","Plantae","Diapensiaceae","research",5484
"449","Plantae","Dichapetalaceae","needs_id",86
"450","Plantae","Dichapetalaceae","research",52
"451","Plantae","Dicksoniaceae","needs_id",702
"452","Plantae","Dicksoniaceae","research",2799
"453","Plantae","Dicnemonaceae","needs_id",31
"454","Plantae","Dicnemonaceae","research",3
"455","Plantae","Dicranaceae","needs_id",29943
"456","Plantae","Dicranaceae","research",7372
"457","Plantae","Dicranellaceae","needs_id",75
"458","Plantae","Dicranellaceae","research",28
"459","Plantae","Dictyosphaeriaceae","needs_id",96
"460","Plantae","Dictyosphaeriaceae","research",20
"461","Plantae","Didiereaceae","needs_id",523
"462","Plantae","Didiereaceae","research",1457
"463","Plantae","Didymochlaenaceae","needs_id",13
"464","Plantae","Didymochlaenaceae","research",33
"465","Plantae","Dilleniaceae","needs_id",6209
"466","Plantae","Dilleniaceae","research",5060
"467","Plantae","Dioncophyllaceae","research",2
"468","Plantae","Dioscoreaceae","needs_id",7589
"469","Plantae","Dioscoreaceae","research",12363
"470","Plantae","Dipentodontaceae","needs_id",25
"471","Plantae","Dipentodontaceae","research",108
"472","Plantae","Diphysciaceae","needs_id",2
"473","Plantae","Diphysciaceae","research",1
"474","Plantae","Diplaziopsidaceae","needs_id",7
"475","Plantae","Diplaziopsidaceae","research",973
"476","Plantae","Dipteridaceae","needs_id",18
"477","Plantae","Dipteridaceae","research",663
"478","Plantae","Dipterocarpaceae","needs_id",752
"479","Plantae","Dipterocarpaceae","research",134
"480","Plantae","Disceliaceae","research",9
"481","Plantae","Distichiaceae","needs_id",32
"482","Plantae","Distichiaceae","research",9
"483","Plantae","Ditrichaceae","needs_id",5211
"484","Plantae","Ditrichaceae","research",1383
"485","Plantae","Doryanthaceae","needs_id",60
"486","Plantae","Doryanthaceae","research",229
"487","Plantae","Droseraceae","needs_id",3487
"488","Plantae","Droseraceae","research",38133
"489","Plantae","Drosophyllaceae","needs_id",1
"490","Plantae","Drosophyllaceae","research",81
"491","Plantae","Dryopteridaceae","needs_id",40336
"492","Plantae","Dryopteridaceae","research",111139
"493","Plantae","Dumontiaceae","needs_id",357
"494","Plantae","Dumontiaceae","research",221
"495","Plantae","Dumortieraceae","needs_id",98
"496","Plantae","Dumortieraceae","research",331
"497","Plantae","Dunaliellaceae","needs_id",16
"498","Plantae","Dunaliellaceae","research",9
"499","Plantae","Ebenaceae","needs_id",6047
"500","Plantae","Ebenaceae","research",21257
"501","Plantae","Ecdeiocoleaceae","needs_id",4
"502","Plantae","Ecdeiocoleaceae","research",5
"503","Plantae","Echinodiaceae","needs_id",49
"504","Plantae","Echinodiaceae","research",56
"505","Plantae","Elaeagnaceae","needs_id",16063
"506","Plantae","Elaeagnaceae","research",34393
"507","Plantae","Elaeocarpaceae","needs_id",2374
"508","Plantae","Elaeocarpaceae","research",7393
"509","Plantae","Elakatotrichaceae","research",2
"510","Plantae","Elatinaceae","needs_id",208
"511","Plantae","Elatinaceae","research",194
"512","Plantae","Emblingiaceae","research",1
"513","Plantae","Encalyptaceae","needs_id",207
"514","Plantae","Encalyptaceae","research",235
"515","Plantae","Endocladiaceae","needs_id",213
"516","Plantae","Endocladiaceae","research",767
"517","Plantae","Endogemmataceae","research",2
"518","Plantae","Entodontaceae","needs_id",9759
"519","Plantae","Entodontaceae","research",1963
"520","Plantae","Ephedraceae","needs_id",8099
"521","Plantae","Ephedraceae","research",4884
"522","Plantae","Ephemeraceae","needs_id",28
"523","Plantae","Ephemeraceae","research",7
"524","Plantae","Equisetaceae","needs_id",33937
"525","Plantae","Equisetaceae","research",58113
"526","Plantae","Eremosphaeraceae","needs_id",2
"527","Plantae","Eremosphaeraceae","research",2
"528","Plantae","Ericaceae","needs_id",176778
"529","Plantae","Ericaceae","research",475077
"530","Plantae","Eriocaulaceae","needs_id",2334
"531","Plantae","Eriocaulaceae","research",4036
"532","Plantae","Erpodiaceae","needs_id",11
"533","Plantae","Erpodiaceae","research",2
"534","Plantae","Erythrotrichiaceae","needs_id",53
"535","Plantae","Erythrotrichiaceae","research",252
"536","Plantae","Erythroxylaceae","needs_id",889
"537","Plantae","Erythroxylaceae","research",307
"538","Plantae","Escalloniaceae","needs_id",1312
"539","Plantae","Escalloniaceae","research",1367
"540","Plantae","Eucommiaceae","needs_id",39
"541","Plantae","Eucommiaceae","research",7
"542","Plantae","Euphorbiaceae","needs_id",93111
"543","Plantae","Euphorbiaceae","research",257059
"544","Plantae","Eupomatiaceae","needs_id",23
"545","Plantae","Eupomatiaceae","research",288
"546","Plantae","Eupteleaceae","needs_id",29
"547","Plantae","Eupteleaceae","research",11
"548","Plantae","Exormothecaceae","needs_id",11
"549","Plantae","Exormothecaceae","research",7
"550","Plantae","Fabaceae","needs_id",755971
"551","Plantae","Fabaceae","research",1201604
"552","Plantae","Fabroniaceae","needs_id",101
"553","Plantae","Fabroniaceae","research",56
"554","Plantae","Fagaceae","needs_id",278368
"555","Plantae","Fagaceae","research",258732
"556","Plantae","Faucheaceae","needs_id",22
"557","Plantae","Faucheaceae","research",27
"558","Plantae","Fissidentaceae","needs_id",4168
"559","Plantae","Fissidentaceae","research",741
"560","Plantae","Flagellariaceae","needs_id",106
"561","Plantae","Flagellariaceae","research",401
"562","Plantae","Flexitrichaceae","needs_id",40
"563","Plantae","Flexitrichaceae","research",25
"564","Plantae","Fontinalaceae","needs_id",758
"565","Plantae","Fontinalaceae","research",383
"566","Plantae","Fossombroniaceae","needs_id",633
"567","Plantae","Fossombroniaceae","research",45
"568","Plantae","Fouquieriaceae","needs_id",442
"569","Plantae","Fouquieriaceae","research",16729
"570","Plantae","Francoaceae","needs_id",529
"571","Plantae","Francoaceae","research",1151
"572","Plantae","Frankeniaceae","needs_id",1005
"573","Plantae","Frankeniaceae","research",2881
"574","Plantae","Frullaniaceae","needs_id",215
"575","Plantae","Frullaniaceae","research",59
"576","Plantae","Fryeellaceae","needs_id",1
"577","Plantae","Funariaceae","needs_id",2700
"578","Plantae","Funariaceae","research",2507
"579","Plantae","Furcellariaceae","needs_id",62
"580","Plantae","Furcellariaceae","research",43
"581","Plantae","Galaxauraceae","needs_id",302
"582","Plantae","Galaxauraceae","research",50
"583","Plantae","Garryaceae","needs_id",4237
"584","Plantae","Garryaceae","research",4240
"585","Plantae","Gayraliaceae","needs_id",2
"586","Plantae","Geissolomataceae","needs_id",1
"587","Plantae","Geissolomataceae","research",7
"588","Plantae","Gelidiaceae","needs_id",585
"589","Plantae","Gelidiaceae","research",238
"590","Plantae","Gelidiellaceae","needs_id",15
"591","Plantae","Gelidiellaceae","research",6
"592","Plantae","Gelsemiaceae","needs_id",1436
"593","Plantae","Gelsemiaceae","research",3411
"594","Plantae","Gentianaceae","needs_id",35453
"595","Plantae","Gentianaceae","research",71161
"596","Plantae","Geocalycaceae","needs_id",119
"597","Plantae","Geocalycaceae","research",38
"598","Plantae","Geraniaceae","needs_id",108865
"599","Plantae","Geraniaceae","research",165494
"600","Plantae","Gerrardinaceae","needs_id",3
"601","Plantae","Gerrardinaceae","research",16
"602","Plantae","Gesneriaceae","needs_id",8869
"603","Plantae","Gesneriaceae","research",9902
"604","Plantae","Gigartinaceae","needs_id",3923
"605","Plantae","Gigartinaceae","research",3836
"606","Plantae","Gigaspermaceae","needs_id",6
"607","Plantae","Gigaspermaceae","research",22
"608","Plantae","Ginkgoaceae","needs_id",62
"609","Plantae","Ginkgoaceae","research",1066
